ITT,DATE_TIME,TRACKLINE,TRIP_DIRECTION,DEST_STATION,DESCRIPTION,TRKID
254,7/27/2024 12:16:40 PM,Yellow,1,MT VERNON SQ,Archives-Navy Memorial-Penn Quarter- Track 1; ,F02-F1-20
264,7/27/2024 12:16:40 PM,Silver,1,LARGO TOWN CENTER,Addison Road-Seat Pleasant- Track 1;  motion;,G03-G1-469
270,7/27/2024 12:16:40 PM,Blue,2,FRANCONIA-SPRINGFIELD,,D04-D2-95
232,7/27/2024 12:16:42 PM,Red,2,SHADY GROVE,,A10-A2-477
321,7/27/2024 12:16:41 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2;  Doors open left,F05-F2-121
260,7/27/2024 12:16:47 PM,Orange,2,VIENNA,Federal Triangle- Track 2; ,D01-D2-16
254,7/27/2024 12:16:47 PM,Yellow,1,MT VERNON SQ,Archives-Navy Memorial-Penn Quarter- Track 1;  motion;,F02-F1-20
264,7/27/2024 12:16:47 PM,Silver,1,LARGO TOWN CENTER,Addison Road-Seat Pleasant- Track 1;  motion;,G03-G1-469
270,7/27/2024 12:16:47 PM,Blue,2,FRANCONIA-SPRINGFIELD,,D04-D2-89
232,7/27/2024 12:16:47 PM,Red,2,SHADY GROVE,,A10-A2-477
321,7/27/2024 12:16:45 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2;  Doors open left,F05-F2-121
260,7/27/2024 12:16:52 PM,Orange,2,VIENNA,Federal Triangle- Track 2; ,D01-D2-16
254,7/27/2024 12:16:52 PM,Yellow,1,MT VERNON SQ,Archives-Navy Memorial-Penn Quarter- Track 1;  motion;,F02-F1-20
264,7/27/2024 12:16:52 PM,Silver,1,LARGO TOWN CENTER,Addison Road-Seat Pleasant- Track 1;  motion;,G03-G1-469
270,7/27/2024 12:16:52 PM,Blue,2,FRANCONIA-SPRINGFIELD,,D04-D2-87
232,7/27/2024 12:16:52 PM,Red,2,SHADY GROVE,,A10-A2-487
321,7/27/2024 12:16:50 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2; ,F05-F2-121
